author,degree,betweenness,eigenvector
"Xu, Hui",0.007689707622105796,0.023601797810620398,0.3342177592598569
"She, Xiaojie",0.002704073009971269,0.0006564740775992085,0.2092179085369167
"Fei, Ting",0.0009295250971776238,0.0,0.08717297156314607
"Song, Yanhua",0.0035490958255872907,0.000834066474702453,0.22071821429968422
"Liu, Daobin",0.0009295250971776238,0.0,0.08717297156314607
"Li, Hongping",0.0009295250971776238,0.0,0.08717297156314607
"Yang, Xiaofei",0.0017745479127936454,0.0008165011734688587,0.08966013095531011
"Yang, Jinman",0.0023660638837248605,0.00014794559004327313,0.188613856775806
"Li, Huaming",0.00625316883555856,0.008464917474355425,0.3267157350311069
"Song, Li",0.0009295250971776238,0.0,0.08717297156314607
"Ajayan, Pulickel M.",0.0018590501943552475,0.000529874080960027,0.09142334082128482
"Wu, Jingjie",0.002028054757478452,0.0032623162389092,0.09419997244368246
"Chen, Jiayi",0.000507013689369613,0.0,1.784497077719494e-05
"Xio, Xinyan",0.0002535068446848065,0.0,1.5548713365870133e-05
"Wang, Yi",0.003295588980902484,0.0026107173094021383,0.000290153887197026
"Ye, Zhihao",0.0002535068446848065,0.0,1.5548713365870133e-05
"Yang, Yurong",0.00042251140780801076,0.0,1.8634537031330208e-05
"Qiu, Min",0.00042251140780801076,0.0,1.8634537031330208e-05
"Li, Liu",0.00042251140780801076,0.0,1.8634537031330208e-05
"Pi, Yanmei",0.00042251140780801076,0.0,1.8634537031330208e-05
"Yan, Guomin",0.00042251140780801076,0.0,1.8634537031330208e-05
"Yang, Lei",0.004478620922764914,0.009740461653214709,0.00031095294610940775
"Zhang, Yuanwen",0.0007605205340544194,2.4085185498183048e-05,5.531353130846165e-06
"Xu, Jingsan",0.0011830319418624302,0.0004335333389672949,7.983966532076531e-05
"Mei, Jun",0.0007605205340544194,2.4085185498183048e-05,5.531353130846164e-06
"Sarina, Sarina",0.0005915159709312151,0.0,5.4285475627173515e-06
"Wu, Ziyang",0.0005915159709312151,0.0,5.4285475627173515e-06
"Liao, Ting",0.0007605205340544194,2.4085185498183048e-05,5.531353130846164e-06
"Yan, Cheng",0.0005915159709312151,0.0,5.4285475627173515e-06
"Sun, Ziqi",0.0007605205340544194,2.4085185498183048e-05,5.531353130846164e-06
"Shahrokhi, Masoud",0.0001690045631232043,0.0,1.92059692882817e-40
"Raybaud, Pascal",0.0002535068446848065,0.0,2.4598552326558998e-40
"Le Bahers, Tangui",0.0002535068446848065,0.0,2.4598552326558998e-40
"Wang, Kai",0.0023660638837248605,0.005995497435011763,0.004171527288013199
"Yang, Jing",0.0029575798546560756,0.008035671154778788,0.02817809865607733
"Zhu, Jixin",0.0011830319418624302,0.0013927945225619754,0.003671956282832742
"Li, Le",0.0007605205340544194,0.00014451111298909827,0.003395531855467602
"Liu, Ying",0.0034645935440256884,0.004804108285242213,0.026688446060460617
"Zhang, Chao",0.0034645935440256884,0.0032653153459659156,0.004101244892550819
"Liu, Tianxi",0.000507013689369613,0.0,0.003370742844556329
"Zhang, Yan",0.004478620922764914,0.009420800313246968,0.0012478219794764484
"Liao, Wanyi",0.0001690045631232043,0.0,6.303036634736652e-05
"Zhang, Guangqiang",0.0001690045631232043,0.0,6.303036634736652e-05
"He, Fei",0.00042251140780801076,0.0,0.0003190037338062487
"Zhu, Bicheng",0.0018590501943552475,0.0028709072412990665,0.00044952451989334363
"Cheng, Bei",0.0019435524759168496,0.0010947700402273444,0.00043306169178661074
"Yu, Jiaguo",0.0041406117965185054,0.0019701241742057997,0.000477845876023665
"Ho, Wingkei",0.001690045631232043,0.0028151905280151815,0.004943446764054447
"Macyk, Wojciech",0.0007605205340544194,7.848782521081186e-05,0.0003350178460452621
"Wang, Yuting",0.0023660638837248605,0.0010715721144400098,0.00028177954958759675
"Zuo, Gancheng",0.0017745479127936454,0.0001910811772275018,0.00020597470575904627
"Kong, Jijie",0.0011830319418624302,0.0001387914000367747,0.00019002355105782233
"Guo, Yang",0.0014365387865472366,0.001039390851965255,0.0002763903448426556
"Xian, Zeyu",0.0007605205340544194,0.0,0.00013399064512183097
"Dai, Yuxuan",0.002028054757478452,0.002177817059167122,0.00035219518867120607
"Wang, Junjie",0.0012675342234240324,0.0024131642918051575,0.00019996573682468728
"Gong, Tingting",0.0010985296603008281,0.00046870808913068506,0.0003390315218388905
"Sun, Cheng",0.002281561602163258,0.0032224586308540444,0.0005366073091132019
"Xian, Qiming",0.002028054757478452,0.0006224363306069899,0.000390386826201042
"Xiao, Xinyan",0.0005915159709312151,6.66360178128115e-05,1.6823932132305666e-05
"Lu, Mingli",0.0005915159709312151,6.66360178128115e-05,1.6823932132305666e-05
"Zeng, Xingye",0.0003380091262464086,0.0,1.6418802824304978e-05
"Guo, Yanzhen",0.0006760182524928173,0.0,1.011160611407547e-09
"Chang, Binbin",0.0006760182524928173,0.0,1.011160611407547e-09
"Wen, Ting",0.0006760182524928173,0.0,1.011160611407547e-09
"Zhang, Shouren",0.0006760182524928173,0.0,1.011160611407547e-09
"Zeng, Min",0.0006760182524928173,0.0,1.011160611407547e-09
"Hu, Nantao",0.0011830319418624302,0.00038536296797092877,1.3041512562465901e-08
"Su, Yanjie",0.0006760182524928173,0.0,1.011160611407547e-09
"Yan, Zhi",0.0006760182524928173,0.0,1.011160611407547e-09
"Yang, Baocheng",0.0006760182524928173,0.0,1.011160611407547e-09
"Luan, Lijun",0.0005915159709312151,0.0,4.359227047909355e-05
"Han, Liuyang",0.0005915159709312151,0.0,4.359227047909355e-05
"Zhang, Di",0.001605543349670441,0.0019186524378575261,0.0005702146997733407
"Bai, Kaiyang",0.0005915159709312151,0.0,4.359227047909355e-05
"Sun, Kaili",0.0005915159709312151,0.0,4.359227047909355e-05
"Xu, Changyan",0.0005915159709312151,0.0,4.359227047909355e-05
