,count
"FUJISHIMA A, 1972, NATURE, V238, P37, DOI 10.1038/238037a0",230
"Perdew JP, 1996, PHYS REV LETT, V77, P3865, DOI 10.1103/PhysRevLett.77.3865",140
"Wang XC, 2009, NAT MATER, V8, P76, DOI [10.1038/nmat2317, 10.1038/NMAT2317]",139
"Kresse G, 1996, PHYS REV B, V54, P11169, DOI 10.1103/PhysRevB.54.11169",133
"Fu JW, 2019, APPL CATAL B-ENVIRON, V243, P556, DOI 10.1016/j.apcatb.2018.11.011",130
"Low JX, 2017, ADV MATER, V29, DOI 10.1002/adma.201601694",99
"Ong WJ, 2016, CHEM REV, V116, P7159, DOI 10.1021/acs.chemrev.6b00075",97
"Xu QL, 2020, CHEM-US, V6, P1543, DOI 10.1016/j.chempr.2020.06.010",91
"BLOCHL PE, 1994, PHYS REV B, V50, P17953, DOI 10.1103/PhysRevB.50.17953",81
"Naguib M, 2011, ADV MATER, V23, P4248, DOI 10.1002/adma.201102306",80
"Wang HL, 2014, CHEM SOC REV, V43, P5234, DOI 10.1039/c4cs00126e",77
"Cao SW, 2018, ADV FUNCT MATER, V28, DOI 10.1002/adfm.201800136",74
"Schneider J, 2014, CHEM REV, V114, P9919, DOI 10.1021/cr5001892",74
"Chen XB, 2010, CHEM REV, V110, P6503, DOI 10.1021/cr1001645",71
"Peng C, 2016, ACS APPL MATER INTER, V8, P6051, DOI 10.1021/acsami.5b11973",68
"Zhou WJ, 2013, SMALL, V9, P140, DOI 10.1002/smll.201201161",67
"Zhou P, 2014, ADV MATER, V26, P4920, DOI 10.1002/adma.201400288",67
"Ran JR, 2017, NAT COMMUN, V8, DOI 10.1038/ncomms13907",65
"Low JX, 2018, J CATAL, V361, P255, DOI 10.1016/j.jcat.2018.03.009",64
"Kudo A, 2009, CHEM SOC REV, V38, P253, DOI 10.1039/b800489g",62
"Xiang QJ, 2012, J AM CHEM SOC, V134, P6575, DOI 10.1021/ja302846n",62
"Niu P, 2012, ADV FUNCT MATER, V22, P4763, DOI 10.1002/adfm.201200922",59
"Fu JW, 2018, ADV ENERGY MATER, V8, DOI 10.1002/aenm.201701503",56
"Wang QH, 2012, NAT NANOTECHNOL, V7, P699, DOI [10.1038/NNANO.2012.193, 10.1038/nnano.2012.193]",56
"Wen JQ, 2017, APPL SURF SCI, V391, P72, DOI 10.1016/j.apsusc.2016.07.030",55
"Xu FY, 2020, NAT COMMUN, V11, DOI 10.1038/s41467-020-18350-7",53
"Asahi R, 2001, SCIENCE, V293, P269, DOI 10.1126/science.1061051",52
"He F, 2020, APPL CATAL B-ENVIRON, V272, DOI 10.1016/j.apcatb.2020.119006",51
"Mak KF, 2010, PHYS REV LETT, V105, DOI 10.1103/PhysRevLett.105.136805",50
"Yang HG, 2008, NATURE, V453, P638, DOI 10.1038/nature06964",50
"Kresse G, 1996, COMP MATER SCI, V6, P15, DOI 10.1016/0927-0256(96)00008-0",49
"Hisatomi T, 2014, CHEM SOC REV, V43, P7520, DOI 10.1039/c3cs60378d",49
"Chen XB, 2011, SCIENCE, V331, P746, DOI 10.1126/science.1200448",49
"Kresse G, 1999, PHYS REV B, V59, P1758, DOI 10.1103/PhysRevB.59.1758",49
"Yu JG, 2013, PHYS CHEM CHEM PHYS, V15, P16883, DOI 10.1039/c3cp53131g",47
"Cao SW, 2015, ADV MATER, V27, P2150, DOI 10.1002/adma.201500033",47
"Xu QL, 2018, MATER TODAY, V21, P1042, DOI 10.1016/j.mattod.2018.04.008",47
"Chen X, 2007, CHEM REV, V107, P2891, DOI [10.14233/ajchem.2023.27287, 10.1021/cr0500535]",47
"Zhang ZY, 2015, APPL CATAL B-ENVIRON, V163, P298, DOI 10.1016/j.apcatb.2014.08.013",47
"Zhang LY, 2022, ADV MATER, V34, DOI 10.1002/adma.202107668",47
"MONKHORST HJ, 1976, PHYS REV B, V13, P5188, DOI 10.1103/PhysRevB.16.1746",47
"Dong F, 2013, ACS APPL MATER INTER, V5, P11392, DOI 10.1021/am403653a",45
"Yu JG, 2014, J AM CHEM SOC, V136, P8839, DOI 10.1021/ja5044787",45
"Anasori B, 2017, NAT REV MATER, V2, DOI 10.1038/natrevmats.2016.98",45
"Moniz SJA, 2015, ENERG ENVIRON SCI, V8, P731, DOI 10.1039/c4ee03271c",44
"Wang Z, 2019, CHEM SOC REV, V48, P2109, DOI 10.1039/c8cs00542g",44
"Li X, 2019, CHEM REV, V119, P3962, DOI 10.1021/acs.chemrev.8b00400",44
"Grimme S, 2010, J CHEM PHYS, V132, DOI 10.1063/1.3382344",43
"Habisreutinger SN, 2013, ANGEW CHEM INT EDIT, V52, P7372, DOI 10.1002/anie.201207199",43
"Chhowalla M, 2013, NAT CHEM, V5, P263, DOI [10.1038/nchem.1589, 10.1038/NCHEM.1589]",43
